Name,Rating,Review,Specification
Asus Vivobook G0 15 AMD Ryzen 5 7520U 2023 – 8GB DDR5 RAM – 512GB NVMe SSD – 15.6″ FHD Display – Thin & Light Laptop – Black,0,0,
HP Laptop 240 G7 14 inch Display 10th Gen Intel Core i3 8GB RAM HDD 256GB SSD win 10 Home (Black),0,0,Brand No Brand SKU 105849514_NP-1027703927 Ram Memory 8GB Graphic Card AMD Radeon Operating System Windows Generation 10th CPU Cores Quad Core Storage Capacity 256GB Touch Pad Not Specified Display Size 14 Inch Graphics memory Not Specified Processor Intel Core i3
"Lenovo Ideapad 1-14IGL (Intel Core Celeron - N4020 Processor | 8GB RAM | 256GB SSD | Intel UHD Graphics 600 | 14"" HD Display)",0,0,Brand No Brand SKU 131396536_NP-1038245749 CPU Speed (GHz) 2-3GHz Wireless Connectivity WIFI + Bluetooth Display Size 14 Inch Operating System Windows CPU Cores Quad Core Ram Memory 8GB Camera Front (Megapixels) 6-10 MP Model No. N4020 Touch Pad Yes Input Output ports HDMI AC Adapter Yes Graphic Card Intel Battery Life 1-5 Hour Storage Capacity 256GB Processor Intel Storage Type SSD Touch No Graphics memory Integrated Graphics Card
"Lenovo ThinkPad Z13 Ryzen 7 Pro 6850U/ 16 GB DDR5 RAM/512 GB NVME SSD/ 13.3"" IPS Touch / FP/ Backlit Keyboard/Win 11 Professional (Business Series Laptop)",0,0,Brand No Brand SKU 128902691_NP-1036849162 Display Size 13.3 Inch Operating System Windows CPU Cores Octa Core Ram Memory 16GB Storage Capacity 512GB Processor Ryzen 7 Octa Core Generation 13th
"MSI Modern 15 A4SX Ryzen 5 4500U / AMD Radeon Graphics / 8GB RAM / 512GB SSD / 15.6"" FHD Display",0,0,Brand No Brand SKU 129157485_NP-1037168981 Display Size Operating System
Laptop Acer Swift3 SF314-510G-71CT i7 11th Gen-16GB-1TB SSD-4GB-OS,0,0,Brand No Brand SKU 128488219_NP-1035975951 Display Size 14 Inch Operating System Windows 10 CPU Cores Quad Core Ram Memory 16GB Storage Capacity 1TB Processor Intel Core i7 Generation 11th
HP 15 255 G8 With Ryzen 7 5700U Processor 15.6 Inch FHD Display 8GB RAM 512GB ROM,0,0,Brand No Brand SKU 128230164_NP-1035369208 Ram Memory 8GB Operating System Windows Generation Not Specified CPU Cores Not Specified Storage Capacity 512GB Touch No Display Size 15.6 Inch Processor Ryzen 7 Model No. HP 15
"Acer Aspire 5 2020 i5 11th Gen 8GB RAM 512GB SSD 15.6"" FHD Display / Backlight Keyboard",0,0,Brand No Brand SKU 125214617_NP-1033991801 Ram Memory 8GB Graphic Card AMD Radeon Operating System DOS Generation 11th CPU Cores Quad Core Storage Capacity 512GB Touch Pad Not Specified Display Size 15.6 Inch Graphics memory Not Specified Processor Intel Core i5
Dell Inspiron 3520 - 15 - 1235U | 8GB | 256 SSD I Intel UHD FHD Low Stock,0,0,Brand No Brand SKU 128080063_NP-1035144883 Ram Memory 8GB Operating System Windows 10 Generation 11th CPU Cores Dual Core Storage Capacity 250GB Display Size 15.6 Inch Processor Intel Core i5
"HP 15 fc0093dx AMD Ryzen 5 7520U - 16GB DDR4 RAM - 256GB NVMe SSD - 15.6"" FHD Display - Windows 11 Home - Silver",0,0,
Dell Vostro 3400 / Core I5 11th Gen / 8GB / 256GB SSD /1TB HDD/ MX330 2GB / 14 Inch,0,0,Brand No Brand SKU 128033097_NP-1035079654 Storage Capacity 1TB Ram Memory 8GB Display Size 14 Inch Operating System Windows Generation 11th Processor Intel Core i5 CPU Cores Quad Core
HP 14s Laptop i3 1215U 12th Gen|8GB RAM|256GB SSD|14″ HD Screen| Integrated Graphics,0,0,Brand No Brand SKU 129836693_NP-1037690268 CPU Speed (GHz) 2-3GHz Wireless Connectivity WIFI + Bluetooth Display Size 14 Inch Operating System Windows CPU Cores Quad Core Ram Memory 8GB Model No. 14s Graphic Card Intel Integrated Storage Capacity 256GB Processor Intel Core i3 Graphics memory Integrated Graphics Card Generation 12th Warranty Policy EN INTERNATIONAL POLICY
"Dell Latitude 3410 i5/ 10th Gen/ 8GB/ 256 GB SSD/ 14"" Laptop",0,0,
"Acer Aspire 5 2021 I5 11th Gen / 4GB RAM / 1TB HDD / 15.6"" HD Display",0,0,Brand No Brand SKU 123277762_NP-1033489721 Storage Capacity 1TB Ram Memory 4GB Display Size 15.6 Inch Operating System Windows Generation 11th Processor Intel Core i5 CPU Cores Single Core
"Dell Latitude 14 5420 - i5 1135G7 | 8GB RAM | 256GB SSD | 14"" Full-HD Display |",0,0,Brand No Brand SKU 130111477_NP-1038231533 Display Size 14 Inch Operating System Windows 10 CPU Cores Quad Core Ram Memory 8GB Storage Capacity 256GB Processor Intel Core i5 Generation 11th Warranty Policy EN Terms and conditions applied
"Lenovo Ideapad 3 2020 i5 /10th Gen / 8GB RAM / 512GB SSD / 14"" FHD display",0,0,Brand No Brand SKU 125214620_NP-1033991803 Ram Memory 8GB Graphic Card AMD Radeon Operating System Windows Generation 10th CPU Cores Quad Core Storage Capacity 512GB Touch Pad Not Specified Display Size 14 Inch Graphics memory Not Specified Processor Intel Core i5
"HP 14S-FQ1052AU AMD Ryzen 3 5300U 4GB 256GB SSD 14""",0,0,Brand No Brand SKU 125214612_NP-1033991797 Ram Memory 4GB Operating System Windows Generation Not Specified CPU Cores Quad Core Storage Capacity 256GB Display Size 14 Inch Processor Ryzen 3 Quad Core
"Dell Vostro 3520 i5 12th Gen | 16GB RAM | 256GB SSD | 15.6"" 120Hz FHD | Black",0,0,Brand No Brand SKU 130070022_NP-1037961301 Wireless Connectivity WIFI + Bluetooth Display Size 15.6 Inch Operating System Windows CPU Cores Not Specified Ram Memory 16GB Model No. Vostro 3520 Touch Pad Yes Storage Capacity 256GB Processor Intel Core i5 Storage Type SSD Touch No Generation 12th
Newly lunched-Lenovo Yoga 6 13ALC6 Touch Screen 360 Degree Rotate 5500U 2.1G 8GB RAM 256GB SSD 13.3″ HD,0,0,Brand No Brand SKU 119236008_NP-1032637523 Ram Memory 8GB Operating System Windows Generation 11th CPU Cores Hexa Core Storage Capacity 256GB Display Size 13.3 Inch Processor AMD Model No. 13ALC6
Lenovo ThinkBook 14 12th Gen Intel Core i5-1235U Processor | 8GB RAM | 512GB SSD | Integrated Intel UHD Graphics Card | 14-inch FHD IPS Display | Lenovo Laptop | Laptop | Grey,0,0,Brand No Brand SKU 129831135_NP-1037901212 Display Size 14 Inch Operating System Windows CPU Cores Deca Core Ram Memory 8GB Storage Capacity 512GB Processor Intel Core i5 Generation 12th Warranty Policy EN 1 year seller warranty except for physical damages.
"Lenovo IP1 Ryzen5 7520U/ 8GB DDR5 RAM/512GB SSD/15.6"" FHD",0,0,Brand No Brand SKU 129654540_NP-1037547556 Display Size 15.6 Inch Operating System Windows CPU Cores Quad Core Ram Memory 8GB Storage Capacity 512GB Processor Ryzen 5 Generation 13th
"Lenovo Ideapad 3 Intel Core i5 11th Gen - 8GB DDR4 RAM - 256GB NVMe SSD - Intel Iris Xe Graphics - 15.6"" FHD Display - Grey",0,0,Brand No Brand SKU 128212553_NP-1035345410 Ram Memory 8GB Operating System Windows Generation 11th CPU Cores Not Specified Storage Capacity 256GB Display Size 15.6 Inch Processor Intel Core i5 Warranty Policy EN Warranty against manufacturing defects.
"Acer Aspire 3 Ryzen5 7000Series 8GB 512GB 15.6""inch FHD display",0,0,Brand No Brand SKU 129382960_NP-1037386484 Display Size 15 Inch Operating System Windows CPU Cores Hexa Core Ram Memory 8GB Storage Capacity 512GB Processor AMD Generation 13th CPU Speed (GHz) 2-3GHz Wireless Connectivity WIFI + Bluetooth Camera Front (Megapixels) Below 5 MP Model No. Aspire 3 15 Touch Pad Yes Input Output ports USB 3.0 AC Adapter Yes Graphic Card AMD Radeon Battery Life 1-5 Hour Storage Type SSD Touch No Graphics memory Integrated Graphics Card Warranty Policy EN except Physical damage
"HP Notebook 14-FQ1051AU Ryzen 3 5300U / 4GB RAM / 256GB SSD / 14"" FHD Display",0,0,Brand No Brand SKU 122391262_NP-1033247626 Battery Life 6-10 Hour Ram Memory 4GB Graphic Card AMD Operating System Windows 10 Generation Not Specified CPU Cores Quad Core Storage Capacity 256GB Storage Type SSD Display Size 15.6 Inch Wireless Connectivity WIFI + Bluetooth AC Adapter Yes Graphics memory 2GB Processor Ryzen 3 Quad Core Model No. FQ1051
Lenovo IdeaPad 1 Ryzen 5 7520U 8Gb/256Gb SSD 15 inch Display,0,0,Brand No Brand SKU 129924148_NP-1037916806 Display Size 15.6 Inch Operating System Windows CPU Cores Not Specified Ram Memory 8GB Storage Capacity 256GB Processor Ryzen 5 Generation Not Specified
Lenovo V14 Celeron 4Gb Ram 256Gb SSD 14 FHD,0,0,Brand No Brand SKU 128489195_NP-1035975954 Display Size 14 Inch Operating System Windows CPU Cores Hexa Core Ram Memory 4GB Storage Capacity 256GB Processor Intel Celeron Generation 10th
Asus VivoBook M1405YA-IS74 AMD Ryzen™ 7 7730U/ 16GB Ram/ 1TB SSD/ AMD Radeon Graphic/ WIN11/ 14” (1920x1200) BLACK.,0,0,Brand No Brand SKU 129377512_NP-1037369824 Condition New Number Of Cpu Cores Quad Processor AMD
"Dell Inspiron 3520 i5 12th Gen | 16GB RAM | 512GB SSD | 15.6"" 120Hz FHD | Black",0,0,Brand No Brand SKU 129411875_NP-1037403765 Wireless Connectivity WIFI + Bluetooth Display Size 15.6 Inch Operating System DOS CPU Cores Not Specified Ram Memory 16GB Model No. Inspiron 3520 Touch Pad Yes Storage Capacity 512GB Processor Intel Core i5 Storage Type SSD Touch No Generation 12th
"Lenovo IdeaPad 1 2023 Laptop | Intel celeron N4020 | 14"" FHD Display | 8GB LPDDR4 | 256GB SSD",0,0,Brand No Brand SKU 128930680_NP-1036887297 Display Size 14 Inch Operating System Not Specified CPU Cores Dual Core Ram Memory 8GB Storage Capacity 256GB Processor Intel Celeron Generation 12th
Laptop Asus VivoBook F415EA-UB51 i5 11th Gen-8GB-256SSD-OS,0,0,Brand No Brand SKU 128488221_NP-1035978781 Display Size 14 Inch Operating System Windows 10 CPU Cores Hexa Core Ram Memory 8GB Storage Capacity 256GB Processor Intel Core i5 Generation 11th
HP 14 Core i3 10th Gen 4GB RAM 128GB SSD 14’’HD,0,0,Brand No Brand SKU 119741268_NP-1032753383 Storage Capacity 128GB Ram Memory 4GB Display Size 14 Inch Operating System Windows Processor Intel Core i3 Generation 10th CPU Cores Quad Core
"Acer Nitro 5 2023 | AMD Ryzen 7 - 6800H Processor | 8GB RAM | 512GB SSD | NVIDIA RTX 3050Ti Graphics | 15.6"" FHD 144Hz Display | Acer Nitro | Gaming Laptop | Black",0,0,Brand No Brand SKU 130042078_NP-1037910280 Display Size 15.6 Inch Operating System Windows
Dell Vostro 3520 Intel Core i3 12th Generation 1215U – 8GB DDR4 RAM – 512GB SSD Storage – Intel UHD Graphics – 15.6″ FHD 120Hz Display – Black,0,0,
Asus ZenBook Q410VA Intel EVO i5 13500H – 8GB DDR5 RAM – 512GB NVMe SSD – Iris Xe Integrated Graphics – 14.5″ 2.8K (2880 x 1800) TouchScreen Display – Inkwell Gray,0,0,
Acer Swift Go 14 Intel Evo i5 13th Gen 13500H | 16GB DDR5 RAM | 512GB NVMe SSD | OLED ( 2880 x 1800 ) Display | Backlit Keyboard | Windows 11 Home,0,0,Brand No Brand SKU 129905043_NP-1037748984 Display Size 14 Inch Operating System Windows CPU Cores Not Specified Ram Memory 16GB Storage Capacity 512GB Processor Intel Core i5 Generation 13th
"Lenovo Thinkpad L14 Core i5 11th Gen/ 16 GB RAM / 512GB SSD Nvme/14"" FHD IPS/Backlit keyboard/Win 11 Professional Genuine",0,0,
Lenovo Idea pad Slim 3I Intel core I3 12 Gen 4Gb 256GB 14 Inch FHD Display,0,0,Brand No Brand SKU 130142234_NP-1038029228 CPU Speed (GHz) 2-3GHz Wireless Connectivity WIFI + Bluetooth Display Size 14 Inch Operating System Windows CPU Cores Octa Core Ram Memory 4GB Camera Front (Megapixels) 6-10 MP Model No. slim 3 Touch Pad Yes Input Output ports USB 3.0 AC Adapter Yes Graphic Card Intel Integrated Battery Life 1-5 Hour Storage Capacity 256GB Processor Intel Core i3 Storage Type SSD Touch No Graphics memory Integrated Graphics Card Generation 12th Warranty Policy EN Except physical damage & water damage
Dell Vostro 3520 Intel Core i5 12th Generation – 8GB DDR4 RAM – 256GB SSD Storage – Intel UHD Graphics – 15.6″ FHD Display – Black,0,0,
"HP Envy i7 13th Gen | 16GB DDR4 | 1TB SSD | 14"" FHD IPS x360 Touch Display | FPR | Win 11",0,0,Brand No Brand SKU 129793797_NP-1037640396 Wireless Connectivity WIFI + Bluetooth Display Size 14 Inch Operating System Windows CPU Cores Not Specified Ram Memory 16GB Model No. 14-es0033dx Touch Pad Yes Storage Capacity 1TB Processor Intel Core i7 Storage Type SSD Touch Yes Generation 13th
"Acer Aspire 5 2021 A515-56G-513K I5 11th Gen / 8GB RAM / 512GB SSD/ 15.6"" FHD Display / NVIDIA MX350 Graphic",0,0,Brand No Brand SKU 123287422_NP-1033490746 Storage Capacity 512GB Ram Memory 8GB Display Size 15.6 Inch Operating System Windows Generation 11th Processor Intel Core i5 CPU Cores Single Core
"Lenovo IdeaPad 1 2023 Laptop | Intel celeron N4020 | 14"" FHD Display | 4GB LPDDR4 | 256GB SSD",0,0,Brand No Brand SKU 129367418_NP-1037375148 Display Size 14 Inch Operating System Windows 10 CPU Cores Dual Core Ram Memory 4GB Storage Capacity 256GB Processor Intel Celeron Generation 11th
HP Laptop 240 G7 14 inch Display 10th Gen Intel Core i3 8GB RAM 500GB HDD SATA win 10 Home (Black),0,0,Brand No Brand SKU 105851254_NP-1027701949 Ram Memory 8GB Graphic Card AMD Radeon Operating System Windows Generation 10th CPU Cores Quad Core Storage Capacity 500GB Touch Pad Not Specified Display Size 14 Inch Graphics memory Not Specified Processor Intel Core i3
Nova Pro(32/1TB) | Intel i7 12700H | RTX 3060 | 165hz,0,0,Brand No Brand SKU 128024606_NP-1035080424 storage_capacity_new 1TB RAM Memory 32GB Display Size 15 Inch Operating System Windows Generation 12th Processor Intel Core i7
Asus ZenBook Q408UG Ryzen 5 4500U 8GB RAM 256GB SSD MX450 2GB 14” FHD display,0,0,Brand No Brand SKU 125217435_NP-1033989946 Ram Memory 8GB Operating System Windows Generation Not Specified CPU Cores Hexa Core Storage Capacity 256GB Display Size 14 Inch Processor Ryzen 5
Dell Vostro 3400 Laptop,0,0,Brand No Brand SKU 114682719_NP-1031165831 Storage Capacity 256GB Ram Memory 8GB Display Size 14 Inch Operating System Windows 10 Generation 11th Processor Intel Core i5 CPU Cores Not Specified
Dell Inspiron 3511 laptop 8GB RAM /512 GB SSD 15.6''FHD Display,0,0,Brand No Brand SKU 114159577_NP-1031022312 Battery Life 6-10 Hour Ram Memory 8GB Graphic Card NVIDIA Operating System Windows Generation 11th CPU Cores Quad Core Storage Capacity 512GB Storage Type SSD CPU Speed (GHz) 4-5 Ghz Display Size 14 Inch Input Output ports USB 2.0 Wireless Connectivity WIFI + Bluetooth Graphics memory 2GB Processor Intel Core i5 Model No. Inspiron 3511
"Dell Latitude 3340 i3 12th Gen 8GB Ram 512 GB SSD 14""inch FHD Display",0,0,Brand No Brand SKU 129434477_NP-1037428748 Display Size 14 Inch Operating System Windows CPU Cores Octa Core Ram Memory 8GB Storage Capacity 256GB Processor Intel Core i3 Generation 12th CPU Speed (GHz) 2-3GHz Wireless Connectivity WIFI + Bluetooth Camera Front (Megapixels) 11-15 MP Model No. Latitude 3340 Touch Pad Yes Input Output ports USB 3.0 AC Adapter Yes Graphic Card Intel Integrated Battery Life 1-5 Hour Storage Type SSD Touch No Graphics memory Integrated Graphics Card Warranty Policy EN Except Physical damage
Acer Extensa 15 215 - i5 11th Gen 8GB 256SSD 15.6FHD,0,0,Brand No Brand SKU 116329269_NP-1035200387 Storage Capacity 256GB Ram Memory 8GB Display Size 15.6 Inch Operating System Windows Processor Intel Core i5 Generation 11th CPU Cores Quad Core
Dell Vostro 3888 Computer Set,0,0,Brand No Brand SKU 114454487_NP-1031087096 Model No. Vostro 3888
"Lenovo Legion Slim 7i | I7-12700H processor | 16GB DDR5 RAM | 512GB SSD | RTX 3060 with 6gb GDDR6 GPU | 16"" WQXGA Display with 165Hz Refresh rate",0,0,Brand No Brand SKU 130042037_NP-1037907144 Display Size 15.6 Inch Operating System Windows RAM Memory 16GB storage_capacity_new 512GB Processor Intel Core i7 Generation 12th
MSI Modern 14 B5M Ryzen 5700U Upto 4.3GHz Ram 8GB SSD 512GB M.2 Nvme Graphic AMD Radeon 14 Inch Display,0,0,Brand No Brand SKU 131371149_NP-1038229868 Display Size 14 Inch Operating System Windows CPU Cores Not Specified Ram Memory 8GB Storage Capacity 512GB Processor Ryzen 7 Generation Not Specified
Acer Predator Triton 300 SE i7 11th Gen RTX 3060 16gb Ram 512gb SSD 144hz 14inch Display,0,0,Brand No Brand SKU 129800480_NP-1037657039 Display Size 14 Inch Operating System Windows RAM Memory 16GB storage_capacity_new 512GB Processor Intel Core i7 Generation 11th
HP 14s-cf3063 TU Laptop,0,0,Brand No Brand SKU 129140171_NP-1037155486 Display Size 14 Inch Operating System Windows CPU Cores Not Specified Ram Memory 4GB Storage Capacity 1TB Processor Intel Core i3 Generation 10th Warranty Policy EN you must have warranty card while you claim warranty
Dell I5-11th Gen/8GB RAM/256GB SSD/1TB HDD/2GB Graphics/15.6 Display,0,0,Brand No Brand SKU 129697437_NP-1037560859 Display Size 15.6 Inch Operating System Windows ram_memory 8GB Graphic Card NVIDIA Battery Life 1-5 Hour storage_capacity_new 1TB Processor Intel Core i5 Storage Type SSD Graphics memory 2GB Generation 11th
"Acer Aspire 5 2023 13th Gen i5 / NVIDIA RTX 2040 / 8GB RAM / 512GB SSD / 14""WUXGA FHD Display / 2 Years Warranty",0,0,
HP Envy 13 Core i5 10th Gen 8GB RAM 256 GB SSD 13.3” FHD Display,0,0,Brand No Brand SKU 119731118_NP-1032751289 Storage Capacity 256GB Ram Memory 8GB Display Size 13.3 Inch Operating System Windows 10 Processor Intel Core i5 Generation 10th CPU Cores Quad Core
Laptop Acer Swift 3 Ryzen5 5500U 8Gb Ram 512Gb Ssd,0,0,Brand No Brand SKU 128486241_NP-1035977816 Display Size 14 Inch Operating System Windows 10 CPU Cores Hexa Core Ram Memory 8GB Storage Capacity 512GB Processor Ryzen 5 Generation Not Specified
Dell Latitude 7490 Core I5 7th Gen 8 GB RAM 256 GB SSD Windows 10,0,0,Brand No Brand SKU 127910088_NP-1037340349 CPU Speed (GHz) 3.6 Wireless Connectivity WIFI + Bluetooth Display Size 14 Inch Operating System Windows 10 CPU Cores Quad Core Ram Memory 8GB Model No. 7490 Touch Pad Yes AC Adapter Yes Graphic Card Intel Integrated Battery Life Not Specified Storage Capacity 256GB Processor Intel Core i5 Storage Type SSD Touch Graphics memory
"Acer Aspire 5 2023 13th Gen i5 / 8GB RAM / 256GB SSD / 15.6"" FHD Display",0,0,
Modern 15 A11MU with Intel 11th Generation Tiger lake Core i5-1155G7,0,0,Brand No Brand SKU 109899756_NP-1029771109 Ram Memory 8GB Graphic Card AMD Radeon Operating System Windows Generation 11th CPU Cores Quad Core Storage Capacity 512GB Touch Pad Not Specified Display Size 15.6 Inch Graphics memory Not Specified Processor Intel
"Acer Swift3-42-r8R5 AMD Ryzen 5-4500U 8GB 512GB Intel UHD 14"" Os",0,0,
"Acer Aspire 3 AMD Ryzen 3 7320U | 4GB RAM | 256GB SSD | 15.6"" FHD | Silver",0,0,Brand No Brand SKU 128299414_NP-1035544724 Ram Memory 4GB Operating System DOS Generation Not Specified CPU Cores Not Specified Storage Capacity 256GB Touch No Storage Type SSD Touch Pad Yes Display Size 15.6 Inch Wireless Connectivity WIFI + Bluetooth Processor AMD Model No. Aspire 3
"Acer Nitro 5 2021 Intel i5 10Th Gen / RTX 3060 / 8GB RAM / 512 SSD / 15.6"" FHD 144Hz display",0,0,Brand No Brand SKU 128240418_NP-1035390148 storage_capacity_new 512GB RAM Memory 8GB Display Size 15.6 Inch Operating System DOS Processor Core i5 Generation 10th
"Acer Aspire 5 2022 12th Gen i3 / 4GB RAM / 256GB SSD / 15.6"" FHD Display Backlight Keyboard",0,0,Brand No Brand SKU 123287423_NP-1033490747 Storage Capacity 256GB Ram Memory 4GB Display Size 15.6 Inch Operating System Windows Generation 11th Processor Intel Core i3 CPU Cores Single Core
HP Laptop 240 G7 14 inch Display 10th Gen Intel Core i3 4GB RAM 500GB HDD SATA Windows 10 Pro 64-bit (Black),0,0,Brand No Brand SKU 105822006_NP-1027661557 CPU Speed (GHz) 1.5 Wireless Connectivity WIFI + Bluetooth Display Size 14 Inch Operating System Windows CPU Cores Quad Core Ram Memory 4GB Camera Front (Megapixels) Below 5 MP Model No. HP 240 G7 Touch Pad No Input Output ports USB 3.0 AC Adapter Yes Graphic Card Intel Battery Life 6-10 Hour Storage Capacity 500GB Processor Intel Core i3 Storage Type HDD Touch No Graphics memory 1GB & Under Generation 10th
Lenovo Ideapad 3 | Core i3- 1115G4 | 8GB RAM | 256GB SSD | 14” FHD,0,0,Brand No Brand SKU 123703247_NP-1033590846 Ram Memory 8GB Operating System Windows Generation 11th CPU Cores Dual Core Storage Capacity 256GB Display Size 14 Inch Wireless Connectivity WIFI + Bluetooth Processor Intel Core i3 Model No. Lenovo Ideapad 3
"Asus TUF F15 Gaming Laptop I7 10Th Gen 8 Core / GTX 1650ti / 16GB RAM / 512GB SSD / 15.6"" FHD 144Hz Display",0,0,Brand No Brand SKU 123262629_NP-1033489297 Storage Capacity 512GB Ram Memory 16GB Display Size 15.6 Inch Operating System Windows Processor Intel Core i7 Generation 10th CPU Cores Single Core
Dell inspiron 3501 core-i5-11th GEN/8GB/256GB SSD,0,0,Brand No Brand SKU 121934564_NP-1033161313 Storage Capacity 256GB Ram Memory 8GB Display Size 15.6 Inch Operating System Windows Processor Intel Core i5 Generation 11th CPU Cores Not Specified
"Lenovo Ideapad 1 15lGL7 11thGen Intel Celeron N4020 8GB DDR4 RAM 256GB SSD 15.6""' HD Display",0,0,Brand No Brand SKU 129364956_NP-1037385125 Display Size 15.6 Inch Operating System Windows CPU Cores Dual Core Ram Memory 8GB Storage Capacity 256GB Processor Intel Celeron Generation Not Specified
"Acer Aspire 3 Ryzen 5 7520U/ 8 GB DDR5 RAM/ 512 GB SSD NVME/15.6"" FHD/Win 11",0,0,Brand No Brand SKU 128901899_NP-1036846329 Display Size 15.6 Inch Operating System Windows CPU Cores Quad Core Ram Memory 8GB Storage Capacity 512GB Processor Ryzen 5 Quad Core Generation 13th
Dell Inspiron 3511 I5 Laptop 11 Gen Processor 8 GB RAM 512 GB SSD 2 GB Graphics 1 Year Warranty Silver or Black,0,0,
Acer Aspire 3/ Ryzen 5-5500U / 15.6″ Full HD / 8GB RAM / 512GB SSD,0,0,Brand No Brand SKU 120823484_NP-1032943166 Display Size 15.6 Inch Operating System Windows CPU Cores Quad Core Ram Memory 8GB Storage Capacity 512GB Processor AMD Generation Not Specified
"MSI Modern 14 B5M, Ryzen™ 7 5700, 14.0"" FHD (1920x1080), 8GB 3200, 256GB NVME",0,0,Brand No Brand SKU 110519668_NP-1034541465 Ram Memory 8GB Graphic Card AMD Radeon Operating System Windows Generation Not Specified CPU Cores Not Specified Storage Capacity 512GB Touch Pad Not Specified Display Size 14 Inch
"GP76 Leopard 11UE (RTX3060, GDDR6 6GB) 17.3"" QHD (2560*1440)",0,0,Brand No Brand SKU 128490140_NP-1035975947 Display Size 17.3 Inch Operating System Windows CPU Cores Not Specified Ram Memory 8GB Storage Capacity Not Specified Processor Intel Core i7 Generation 11th
"Laptop HP 14 i3 11th/4gb/256gb/14""",0,0,Brand No Brand SKU 123066511_NP-1033445515 Storage Capacity 256GB Ram Memory 4GB Display Size 14 Inch Operating System Windows 10 Generation 11th Processor Core i3 CPU Cores Dual Core
MSI Modern 14 B10MW | 10th Gen i7 10510U | 8GB RAM | 256GB SSD | Intel UHD | Win 10,0,0,Brand No Brand SKU 109892043_NP-1034371818 Battery Life 1-5 Hour Graphic Card Intel Integrated Generation 10th CPU Cores Octa Core CPU Speed (GHz) 2-3GHz Wireless Connectivity WIFI + Bluetooth Processor Intel Warranty Policy EN Carry in Model No. Modern 14 B10MW Ram Memory 8GB Operating System Windows Storage Capacity 256GB Touch No Storage Type SSD Touch Pad Not Specified Display Size 14 Inch AC Adapter Yes Graphics memory Not Specified
"Acer Aspire 5 A514 | Intel Core i5 | 11th Gen | 1135G7 Processor | 8GB DDR4 RAM | 512GB PCIe NVMe SSD | Intel Iris Xe Graphics | 14"" FHD Display | Silver | Laptop",0,0,Brand No Brand SKU 129972639_NP-1037850111 Display Size Operating System
Dell Vostro 3400 Laptop i3 11th Gen|14″ inches|8GB RAM| 256GB SSD| Intel UHD Integrated Graphics,0,0,
"Lenovo V14 Celeron | 4GB RAM | 256GB SSD | 14"" HD Display Laptop",0,0,Brand No Brand SKU 129367106_NP-1037373165 Display Size 14 Inch Operating System Windows 10 CPU Cores Dual Core Ram Memory 4GB Storage Capacity 256GB Processor Intel Generation 11th Warranty Policy EN Except physical damage
"HP ProBook 440 G9 Core i5 12th Gen/8GB RAM/256GB SSD/14"" Screen/Win 10 Pro/Fingerprint(Business Series)",0,0,Brand No Brand SKU 128910740_NP-1036848281 Display Size 14 Inch Operating System Windows CPU Cores Deca Core Ram Memory 8GB Storage Capacity 256GB Processor Intel Core i5 Generation 12th
HP Laptop 240 G7 14 inch Display 10th Gen Intel Core i3 8GB RAM 256GB NVMe+500GB HDD SATA Windows 10 Pro 64-bit (Black),0,0,Brand No Brand SKU 130100696_NP-1038001222 CPU Speed (GHz) 1.5 Wireless Connectivity WIFI + Bluetooth Display Size 14 Inch Operating System Windows CPU Cores Quad Core Ram Memory 8GB Camera Front (Megapixels) Below 5 MP Model No. HP 240 G7 Touch Pad Yes Input Output ports USB 3.0 AC Adapter Yes Graphic Card Intel Integrated Battery Life 6-10 Hour Storage Capacity 500GB Processor Intel Core i3 Storage Type SSD Touch No Graphics memory 1GB & Under Generation 10th
"MSI Cyborg 15 I7-13gen, 16GB RAM, 512 SSD, RTX 4050 with 6 gb Screen Size (Inch"") 15.6-inch",0,0,Brand No Brand SKU 129926501_NP-1037798196 Display Size 15.6 Inch Operating System Windows CPU Cores Not Specified Ram Memory 16GB Storage Capacity 512GB Processor Intel Core i7 Generation 13th
"Dell vostro 3400 I5|11Gen|8GB|256GB+1TB HDD| NVDIA Graphics card|14""inch Display with Backlit keyboard",0,0,Brand No Brand SKU 129413027_NP-1037401053 Condition New Number Of Cpu Cores Octa-core Processor Intel Core i5 Model 3400 Warranty Policy EN Except physical damage
"Lenovo IdeaPad Flex 5 AMD Ryzen 5 7530U 14"" (35.5cm) WUXGA+ IPS 2-in-1 Laptop (8GB/512GB SSD/Win 11/Office 2021/Backlit KB/FPR/FHD Camera",0,0,Brand No Brand SKU 129888088_NP-1037752169 Display Size 14 Inch Operating System Windows CPU Cores Not Specified Ram Memory 8GB Storage Capacity 512GB Processor Ryzen 5 Generation Not Specified
Acer Aspire 3 15 AMD Ryzen 5 7520U Processor | 8GB RAM 512GB SSD | 15.6-inch FHD (1920 x 1080) Multi-touch IPS Display Slim Bezel | AMD Radeon Graphics | Silver | 1 Year Warranty | Acer Laptop,0,0,Brand No Brand SKU 129831141_NP-1037678441 Display Size 15.6 Inch Operating System Windows CPU Cores Quad Core Ram Memory 8GB Storage Capacity 512GB Processor AMD Generation Not Specified Warranty Policy EN 1 year seller warranty except for physical damages
